model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,18,91,7.4357823206846237e-11,9.4157872668958630e-12,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,92,3.7301229265715398e-11,4.7233824823337343e-12,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,93,2.3298451140034172e-11,2.9502377842945129e-12,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,94,1.7900023032771853e-11,2.2666452792770552e-12,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,95,8.1721443419734235e-12,1.0348228245512140e-12,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,96,7.4484461178710501e-12,9.4318231882227688e-13,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,97,3.5243481232951890e-12,4.4628138307814022e-13,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,98,1.5891501082547760e-12,2.0123100313019688e-13,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,99,6.5604186786351398e-13,8.3073312256552362e-14,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,100,9.1532066373098681e-16,1.1590528446092784e-16,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,101,8.1014723897071530e-23,1.0258737719891944e-23,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,102,5.3036345675986658e-23,6.7158898251968198e-24,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,103,3.3999889967373570e-24,4.3053402752271678e-25,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,104,1.7822094957037459e-24,2.2567773978411974e-25,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,105,1.5385965876337575e-24,1.9482950863733069e-25,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,106,4.1453691781694638e-25,5.2492007755273931e-26,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,107,2.2110599605149798e-25,2.7998224429791257e-26,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,108,1.0632215271428037e-25,1.3463368459983442e-26,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,109,9.9692048591714317e-26,1.2623811204497466e-26,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,110,5.7521952710041347e-26,7.2838935640645006e-27,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,111,7.3150728420068240e-27,9.2629351898297579e-28,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,112,5.2264003006281200e-27,6.6180895674503903e-28,parity-PRG-sector-hybrid,0.737543870639
