model,J2,L,rank,x,pi,n_low_energy_eigenpairs,P2,KF,retained_mass,unresolved_mass,D_TV_ranked,source_checkpoint,source_sha256
NNN-TFIM,0.050000000000000003,10,12,2.0148076684919784e-06,8.6399651099476656e-07,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,13,1.6086161705358408e-06,6.898121248034461e-07,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,14,5.3672597361404433e-07,2.3016061325093657e-07,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,15,3.0704211025901347e-07,1.3166681670951474e-07,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,16,2.9404279973161083e-07,1.2609240922802062e-07,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,17,1.5051452339682619e-07,6.454413743929808e-08,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,18,9.2615946295905047e-08,3.9715877457441401e-08,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,19,1.3053623285532536e-08,5.5976980586844812e-09,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,20,5.9633132768643894e-09,2.5572077899802345e-09,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,21,1.7192437573014477e-09,7.3725181370278169e-10,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,22,1.5156466485334642e-09,6.4994462583813513e-10,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,23,1.1147861568812149e-09,4.7804629946219051e-10,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,24,6.2344116380274125e-10,2.6734610889149976e-10,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,25,1.8560991824681297e-10,7.9593861130824229e-11,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,26,1.6746210837523289e-10,7.1811657074107837e-11,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,27,1.6615328656747965e-11,7.1250403762887792e-12,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,28,1.5166784737738209e-11,6.5038709656204888e-12,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,29,1.2292487780799143e-11,5.2713054055454849e-12,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
NNN-TFIM,0.050000000000000003,10,30,7.9765402912805042e-12,3.4205264796484337e-12,160,2.331962736946958,0.79592483090788535,0.99999999999999734,2.6645352591003757e-15,0.0033062241399194406,build/runs/a1-publication/work/nnn_tfim_expensive/checkpoints/response_j2_0p05_L10_neig160.json,b5930e304bbc8e2e01cb8f5323dd00ca1193944d626e8271b9d6b93e6ecb4863
