model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,20,75,1.5585910951303270e-28,2.5322081729946716e-29,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,76,1.4332500747503350e-28,2.3285694141121390e-29,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,77,1.2932423995245108e-28,2.1011020683814292e-29,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,78,4.7531471337375601e-29,7.7223320838298650e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,79,3.6808920790828385e-29,5.9802632234245659e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,80,3.1253700915855923e-29,5.0777190465626131e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,81,3.0994126878114786e-29,5.0355466318786726e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,82,1.8773233088416840e-29,3.0500452882446433e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,83,8.9656346225074026e-30,1.4566266507058971e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,84,7.9167771757984506e-30,1.2862211218176002e-30,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,85,5.1215301820867174e-30,8.3208358021796901e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,86,2.6814398100766388e-30,4.3564754243008039e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,87,1.5359256871682155e-30,2.4953841904470760e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,88,1.4961190483297271e-30,2.4307112325935354e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,89,1.1583450162772841e-30,1.8819372999944657e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,90,6.7338762053576803e-31,1.0940378407407260e-31,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,91,5.2676806239607513e-32,8.5582831638106548e-33,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,92,1.4206038396715895e-32,2.3080233581747841e-33,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,93,1.0720369190477186e-32,1.7417144603521991e-33,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,94,5.1008421148231273e-33,8.2872243609415083e-34,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,95,1.6169099359874222e-33,2.6269574923763301e-34,parity-PRG-sector-hybrid,0.730308153046
