model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,51,3.9540169421812748e-10,1.8259981698023443e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,52,3.7448792225834825e-10,1.7294166177234262e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,53,3.6345066001282566e-10,1.6784456154372433e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,54,3.2921408943575742e-10,1.5203382625144007e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,55,3.0560200507218707e-10,1.4112956775594844e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,56,2.9141896332712617e-10,1.3457972018386786e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,57,2.6919970051833952e-10,1.2431867835817969e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,58,2.6290485247763091e-10,1.2141166476425797e-10,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,59,1.6232461267176285e-10,7.4962866873554354e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,60,1.3675253006331038e-10,6.3153464758218700e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,61,1.3075685321815377e-10,6.0384610930308038e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,62,8.9216947335194437e-11,4.1201134171050410e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,63,7.8078613617645369e-11,3.6057358289384015e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,64,7.3922282446277241e-11,3.4137929712574775e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,65,5.6661760516289364e-11,2.6166875993061872e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,66,3.3865800378520479e-11,1.5639510506486565e-11,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,67,1.5935952152929573e-11,7.3593562928069676e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,68,1.4604324282203712e-11,6.7443993792784615e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,69,1.2571022335700553e-11,5.8054034955324241e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,70,1.0667861754157037e-11,4.9265079850793725e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,71,6.1479979687957081e-12,2.8391969996912618e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,72,3.9364889792163615e-12,1.8179036095709866e-12,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,73,2.1564929938848443e-12,9.9588654211810264e-13,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,74,2.0519681557036922e-12,9.4761609563074408e-13,parity-PRG-sector-hybrid,0.783619372916
NNN-TFIM,12,75,1.9669720655674935e-12,9.0836418869697303e-13,parity-PRG-sector-hybrid,0.783619372916
